"Sr. No","Vertical","Service Line","Cluster","SubCluster","Account","Location","Block","Category","Frequency","Dwmsparameter","Formula","Uom","Ideal Direction","Expected Entry Date","Actual Entry Date","Numerator","Num1 Decription","Num1","Num2 Decription","Num2","Num3 Decription","Num3","Denominator","Deno1 Decription","Deno1","Deno2 Decription","Deno2","Deno3 Decription","Deno3","Achieved","Calculated Value","Target Achieved","Status"
82,"M&M AFS","TRANSPORTATION","CENTRAL",,"FES OB_ Nagpur_ TPT","NAGPUR","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
83,"M&M AFS","TRANSPORTATION","WEST1",,"FES OB_ Rajkot_ TPT","RAJKOT","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
84,"M&M AFS","TRANSPORTATION","NORTH",,"FES OB_ Rudrapur_ TPT","RUDRAPUR","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
85,"M&M AFS","TRANSPORTATION","SOUTH",,"FES OB_ Zaheerabad_ TPT","ZAHEERABAD","NA1_Z","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
86,"M&M AFS","TRANSPORTATION","NORTH",,"Mahindra & Mahindra Plant_ Haridwar","HARIDWAR","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
87,"M&M AFS","TRANSPORTATION","WEST1",,"Mahindra & Mahindra Plant_ Chakan","CHAKAN","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"100.000","PENDING"
88,"M&M AFS","TRANSPORTATION","WEST2",,"Mahindra & Mahindra Plant_ Nashik","NASHIK","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
89,"M&M AFS","TRANSPORTATION","WEST1",,"Mahindra & Mahindra Plant_ Kandivali","KANDIVALI","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
90,"M&M AFS","TRANSPORTATION","NORTH",,"MAHINDRA AND MAHINDRA LTD","HARIDWAR","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
91,"M&M AFS","TRANSPORTATION","WEST1",,"MTBD_ Chakan","CHAKAN","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
92,"M&M AFS","TRANSPORTATION","NORTH",,"MAHINDRA AND MAHINDRA LTD","HARIDWAR","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
93,"M&M AFS","TRANSPORTATION","NORTH",,"Mahindra & Mahindra Plant_ Haridwar","HARIDWAR","NA","PRODUCTIVITY","Daily","Unutilized Trailers","Count of Unutilized trailers with trailer numbers and remarks","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
94,"M&M AFS","TRANSPORTATION","WEST1",,"Mahindra & Mahindra Plant_ Chakan","CHAKAN","NA","PRODUCTIVITY","Daily","Unutilized Trailers","Count of Unutilized trailers with trailer numbers and remarks","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"65.000","PENDING"
95,"M&M AFS","TRANSPORTATION","WEST2",,"Mahindra & Mahindra Plant_ Nashik","NASHIK","NA","PRODUCTIVITY","Daily","Unutilized Trailers","Count of Unutilized trailers with trailer numbers and remarks","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
96,"M&M AFS","TRANSPORTATION","WEST1",,"Mahindra & Mahindra Plant_ Kandivali","KANDIVALI","NA","PRODUCTIVITY","Daily","Unutilized Trailers","Count of Unutilized trailers with trailer numbers and remarks","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
97,"M&M AFS","TRANSPORTATION","SOUTH",,"Mahindra & Mahindra Plant_ Zaheerabad","ZAHEERABAD","NA1_Z","PRODUCTIVITY","Daily","Unutilized Trailers","Count of Unutilized trailers with trailer numbers and remarks","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
98,"M&M AFS","TRANSPORTATION","WEST1",,"MTBD_ Chakan","CHAKAN","NA","PRODUCTIVITY","Daily","Unutilized Trailers","Count of Unutilized trailers with trailer numbers and remarks","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
99,"M&M AFS","TRANSPORTATION","NORTH",,"MAHINDRA AND MAHINDRA LTD","HARIDWAR","NA","PRODUCTIVITY","Daily","Unutilized Trailers","Count of Unutilized trailers with trailer numbers and remarks","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
100,"M&M AFS","TRANSPORTATION","NORTH",,"Mahindra & Mahindra Plant_ Haridwar","HARIDWAR","NA","SAFETY","Daily","Vehicle Breakdown","Total no of vehicle breakdown","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
101,"M&M AFS","TRANSPORTATION","WEST1",,"Mahindra & Mahindra Plant_ Chakan","CHAKAN","NA","SAFETY","Daily","Vehicle Breakdown","Total no of vehicle breakdown","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"78.000","PENDING"
102,"M&M AFS","WAREHOUSE","CENTRAL",,"Swaraj Division RSO_ Aurangabad","AURANGABAD","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
103,"M&M AFS","TRANSPORTATION","SOUTH",,"FES OB_ Zaheerabad_ TPT","ZAHEERABAD","NA1_Z","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
104,"M&M AFS","TRANSPORTATION","NORTH",,"Mahindra & Mahindra Plant_ Haridwar","HARIDWAR","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
105,"M&M AFS","TRANSPORTATION","WEST1",,"Mahindra & Mahindra Plant_ Chakan","CHAKAN","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"98.000","PENDING"
106,"M&M AFS","TRANSPORTATION","WEST2",,"Mahindra & Mahindra Plant_ Nashik","NASHIK","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
107,"M&M AFS","TRANSPORTATION","WEST1",,"Mahindra & Mahindra Plant_ Kandivali","KANDIVALI","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
108,"M&M AFS","TRANSPORTATION","SOUTH",,"Mahindra & Mahindra Plant_ Zaheerabad","ZAHEERABAD","NA1_Z","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
109,"M&M AFS","TRANSPORTATION","WEST1",,"MTBD_ Chakan","CHAKAN","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
110,"M&M AFS","TRANSPORTATION","NORTH",,"MAHINDRA AND MAHINDRA LTD","HARIDWAR","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
111,"M&M AFS","TRANSPORTATION","NORTH",,"Swaraj OB_ Mohali_ TPT","MOHALI","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"77.000","PENDING"
112,"M&M AFS","WAREHOUSE","WEST1",,"Swaraj Division RSO_ Ahmedabad","AHMEDABAD","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
113,"M&M AFS","WAREHOUSE","NORTH",,"Swaraj Division RSO_ Aligarh","ALIGARH","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
114,"M&M AFS","WAREHOUSE","SOUTH",,"Swaraj Division RSO_ Ambikapur","AMBIKAPUR","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
115,"M&M AFS","TRANSPORTATION","NORTH",,"FES OB_ Rudrapur_ TPT","RUDRAPUR","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
116,"M&M AFS","WAREHOUSE","NORTH",,"Swaraj Division RSO_ Bareilly","BAREILLY","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
117,"M&M AFS","WAREHOUSE","NORTH",,"Swaraj Division RSO_ Basti","BASTI","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
118,"M&M AFS","WAREHOUSE","NORTH",,"Swaraj Division RSO_ Bhadrak","BHADRAK","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
119,"M&M AFS","WAREHOUSE","CENTRAL",,"Swaraj Division RSO_ Bhopal","BHOPAL","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
120,"M&M AFS","WAREHOUSE","WEST1",,"Swaraj Division RSO_ Daund","DAUND","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
121,"M&M AFS","WAREHOUSE","SOUTH",,"Swaraj Division RSO_ Dharwad","DHARWAD","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
122,"M&M AFS","WAREHOUSE","SOUTH",,"Swaraj Division RSO_ Guntur","GUNTUR","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
123,"M&M AFS","WAREHOUSE","NORTH",,"Swaraj Division RSO_ Gwalior","GWALIOR","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
124,"M&M AFS","WAREHOUSE","CENTRAL",,"Swaraj Division RSO_ Indore","INDORE","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
125,"M&M AFS","WAREHOUSE","CENTRAL",,"Swaraj Division RSO_ Jabalpur","JABALPUR","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
126,"M&M AFS","WAREHOUSE","NORTH",,"Swaraj Division RSO_ Jaipur","JAIPUR","NA_3","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
127,"M&M AFS","WAREHOUSE","NORTH",,"Farm Division RSO_ Patna","PATNA","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
128,"M&M AFS","WAREHOUSE","SOUTH",,"Farm Division RSO_ Dharwad","DHARWAD","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
129,"M&M AFS","WAREHOUSE","SOUTH",,"Farm Division RSO_ Guntur","GUNTUR","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
130,"M&M AFS","WAREHOUSE","EAST",,"Farm Division RSO_ Guwahati","GUWAHATI","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
131,"M&M AFS","WAREHOUSE","NORTH",,"Farm Division RSO_ Gwalior","GWALIOR","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
132,"M&M AFS","WAREHOUSE","CENTRAL",,"Farm Division RSO_ Indore","INDORE","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
133,"M&M AFS","WAREHOUSE","NORTH",,"Farm Division RSO_ Jaipur","JAIPUR","NA_3","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
134,"M&M AFS","WAREHOUSE","NORTH",,"Farm Division RSO_ Jalandhar","JALANDHAR","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
135,"M&M AFS","WAREHOUSE","NORTH",,"Farm Division RSO_ Karnal","KARNAL","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
136,"M&M AFS","WAREHOUSE","CENTRAL",,"Farm Division RSO_ Katni","KATNI",,"SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
137,"M&M AFS","WAREHOUSE","NORTH",,"Farm Division RSO_ Lucknow","LUCKNOW","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
138,"M&M AFS","WAREHOUSE","CENTRAL",,"Farm Division RSO_ Nagpur","NAGPUR","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
139,"M&M AFS","WAREHOUSE","SOUTH",,"Farm Division RSO_ Palakkad","PALAKKAD","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
140,"M&M AFS","WAREHOUSE","NORTH",,"Swaraj Division RSO_ Jodhpur","JODHPUR","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
141,"M&M AFS","WAREHOUSE","CENTRAL",,"Farm Division RSO_ Raipur","RAIPUR","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
142,"M&M AFS","WAREHOUSE","WEST1",,"Farm Division RSO_ Rajkot","RAJKOT","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
143,"M&M AFS","WAREHOUSE","NORTH",,"Farm Division RSO_ Ranchi","RANCHI",,"SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
144,"M&M AFS","WAREHOUSE","NORTH",,"Farm Division RSO_ Rudrapur","RUDRAPUR","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
145,"M&M AFS","WAREHOUSE","SOUTH",,"Farm Division RSO_ Salem","SALEM","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
146,"M&M AFS","WAREHOUSE","NORTH",,"Farm Division RSO_ Varanasi","VARANASI","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
147,"M&M AFS","WAREHOUSE","SOUTH",,"Farm Division RSO_ Zaheerabad","ZAHEERABAD","NA1_Z","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
148,"M&M AFS","TRANSPORTATION","WEST1",,"FES OB_ Gromax_ TPT","VADODARA","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"87.000","PENDING"
149,"M&M AFS","TRANSPORTATION","NORTH",,"FES OB_ Jaipur_ TPT","JAIPUR","NA_3","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
150,"M&M AFS","TRANSPORTATION","CENTRAL",,"FES OB_ Nagpur_ TPT","NAGPUR","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
151,"M&M AFS","TRANSPORTATION","WEST1",,"FES OB_ Rajkot_ TPT","RAJKOT","NA","SAFETY","Daily","Unsafe Act - Closed","No. of Unsafe Act Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
152,"M&M AFS","TRANSPORTATION","WEST1",,"FES OB_ Gromax_ TPT","VADODARA","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"105.000","PENDING"
153,"M&M AFS","WAREHOUSE","CENTRAL",,"Farm Division RSO_ Katni","KATNI",,"SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
154,"M&M AFS","WAREHOUSE","NORTH",,"Farm Division RSO_ Lucknow","LUCKNOW","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
155,"M&M AFS","WAREHOUSE","CENTRAL",,"Farm Division RSO_ Nagpur","NAGPUR","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
156,"M&M AFS","WAREHOUSE","SOUTH",,"Farm Division RSO_ Palakkad","PALAKKAD","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
157,"M&M AFS","WAREHOUSE","NORTH",,"Farm Division RSO_ Patna","PATNA","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
158,"M&M AFS","WAREHOUSE","CENTRAL",,"Farm Division RSO_ Raipur","RAIPUR","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
159,"M&M AFS","WAREHOUSE","WEST1",,"Farm Division RSO_ Rajkot","RAJKOT","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
160,"M&M AFS","WAREHOUSE","NORTH",,"Farm Division RSO_ Ranchi","RANCHI",,"SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
161,"M&M AFS","WAREHOUSE","NORTH",,"Farm Division RSO_ Rudrapur","RUDRAPUR","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
162,"M&M AFS","WAREHOUSE","SOUTH",,"Farm Division RSO_ Salem","SALEM","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
163,"M&M AFS","WAREHOUSE","NORTH",,"Farm Division RSO_ Varanasi","VARANASI","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
164,"M&M AFS","WAREHOUSE","SOUTH",,"Farm Division RSO_ Zaheerabad","ZAHEERABAD","NA1_Z","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
165,"M&M AFS","WAREHOUSE","NORTH",,"Farm Division RSO_ Karnal","KARNAL","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
166,"M&M AFS","TRANSPORTATION","NORTH",,"FES OB_ Jaipur_ TPT","JAIPUR","NA_3","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
167,"M&M AFS","TRANSPORTATION","CENTRAL",,"FES OB_ Nagpur_ TPT","NAGPUR","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
168,"M&M AFS","TRANSPORTATION","WEST1",,"FES OB_ Rajkot_ TPT","RAJKOT","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
169,"M&M AFS","TRANSPORTATION","NORTH",,"FES OB_ Rudrapur_ TPT","RUDRAPUR","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
170,"M&M AFS","TRANSPORTATION","SOUTH",,"FES OB_ Zaheerabad_ TPT","ZAHEERABAD","NA1_Z","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
171,"M&M AFS","TRANSPORTATION","NORTH",,"Mahindra & Mahindra Plant_ Haridwar","HARIDWAR","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
172,"M&M AFS","TRANSPORTATION","WEST1",,"Mahindra & Mahindra Plant_ Chakan","CHAKAN","NA","SAFETY","Daily","Unsafe Condition","No. of Unsafe Condition","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"84.000","PENDING"
